time,latitude,longitude,npp,zooc
1999-03-07,-31.75,115.66667,1192.1553,0.5606384
1999-03-08,-31.75,115.66667,929.88086,0.46238708
1999-03-09,-31.75,115.66667,1775.0381,0.5172882
1999-03-10,-31.75,115.66667,1724.1108,0.6733475
1999-03-11,-31.75,115.66667,1285.9072,0.33522797
1999-03-12,-31.75,115.66667,1268.0825,1.3293457
1999-03-13,-31.75,115.66667,1175.0254,2.5315323
1999-03-14,-31.75,115.66667,1145.1636,0.48550415
1999-03-15,-31.75,115.66667,1982.9126,0.7629318
1999-03-16,-31.75,115.66667,1716.935,0.49417114
1999-03-17,-31.75,115.66667,2971.1284,0.34101105
1999-03-18,-31.75,115.66667,2785.7075,0.81494904
1999-03-19,-31.75,115.66667,2412.7832,1.037468
1999-03-20,-31.75,115.66667,920.1587,0.43637848
1999-03-21,-31.75,115.66667,1214.8408,0.41036987
1999-03-22,-31.75,115.66667,1344.2417,0.3959198
1999-03-23,-31.75,115.66667,1325.0283,0.30055237
1999-03-24,-31.75,115.66667,1352.1123,0.35546112
1999-03-25,-31.75,115.66667,2497.044,0.6762314
1999-03-26,-31.75,115.66667,2514.8687,1.1010437
1999-03-27,-31.75,115.66667,2754.2256,0.49417114
1999-03-28,-31.75,115.66667,2957.0078,0.3727951
1999-03-29,-31.75,115.66667,1697.0269,0.24564362
1999-03-30,-31.75,115.66667,1734.2964,0.19651794
1999-03-31,-31.75,115.66667,1217.8501,0.19073486
1999-04-01,-31.75,115.66667,2236.8535,0.26298523
1999-04-02,-31.75,115.66667,1846.7988,0.42481232
1999-04-03,-31.75,115.66667,1836.1504,0.86696625
1999-04-04,-31.75,115.66667,1785.918,1.1559525
1999-04-05,-31.75,115.66667,1344.936,0.51151276
1999-04-06,-31.75,115.66667,1167.8491,1.655899
1999-04-07,-31.75,115.66667,1497.9487,4.1527557
1999-04-08,-31.75,115.66667,1499.106,3.846428
1999-04-09,-31.75,115.66667,918.0752,4.083397
1999-04-10,-31.75,115.66667,927.103,1.6790237
1999-04-11,-31.75,115.66667,1120.8574,0.36701965
1999-04-12,-31.75,115.66667,1082.1992,0.45949554
1999-04-13,-31.75,115.66667,1512.9951,0.2803192
1999-04-14,-31.75,115.66667,1476.8833,1.6703491
1999-04-15,-31.75,115.66667,938.9092,2.1934204
1999-04-16,-31.75,115.66667,809.0449,1.9217682
1999-04-17,-31.75,115.66667,1102.1069,1.9275513
1999-04-18,-31.75,115.66667,960.9004,0.5230713
1999-04-19,-31.75,115.66667,1794.02,0.4392624
